text,amount_vnd,category,type
Mua đá hồi phục 10k ck,10000,Sức khỏe,Chi tiêu
Ăn uống 131k ck,131000,Tạp phẩm,Chi tiêu
Mua thuốc 60k tiền,60000,Sức khỏe,Chi tiêu
Thanh toán Hùng tiền tất niên 100k,100000,Trả nợ,Chi tiêu
Phụ cấp tháng 5/2025 2.2 triệu,2220000,Phiếu lương,Thu nhập
Tiền ăn lễ 225k bằng tiền mặt,225000,Phiếu lương,Thu nhập
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299k bằng tiền mặt",299000,Giáo dục,Chi tiêu
Phiếu lương 7.4tr tiền,7400000,Phiếu lương,Thu nhập
Đội cho 500 nghìn,500000,Quà tặng,Thu nhập
Thanh toán Sim 5gb 1.1tr,1050000,4G,Chi tiêu
Mượn a Hảo tiền mua caffe 50k hôm nay,50000,Trả nợ,Chi tiêu
Bán chai nc hoa poss 150k bằng tiền mặt,150000,Khác,Chi tiêu
Hùng tiền tất niên 100k tiền,100000,Trả nợ,Chi tiêu
Đám cưới 500k tiền,500000,Đám tiệc,Chi tiêu
Trà sữa 40k,40000,Cafe,Chi tiêu
Thanh toán Mở thẻ BIDV 110k,110000,Khác,Chi tiêu
Trả lại tiền ăn 100k ck,100000,Trả nợ,Chi tiêu
Khác 28k ck,28000,Khác,Chi tiêu
Mua bánh kem sn Vương 50k tiền,50000,Mỹ phẩm chăm sóc da,Chi tiêu
3 chuyến bus 18k hôm nay,18000,Di chuyển,Chi tiêu
Mua đồ ăn cơm nước aquarius bù  nghìnhoáng 98 nghìn,98000,Tạp phẩm,Chi tiêu
Thanh toán Mua nước chạy bộ 15k,15000,Sức khỏe,Chi tiêu
Wifi 130k tiền,130000,4G,Chi tiêu
Kem đánh răng 25 nghìn,25000,Mỹ phẩm chăm sóc da,Chi tiêu
200000,200000,Quà tặng,Thu nhập
Nạp tiền dt mua mạng 130 nghìn,130000,4G,Chi tiêu
Photo document English 60k,60000,Giáo dục,Chi tiêu
Sữa tắm + lăn  nghìnhử mùi 210 nghìn,210000,Mỹ phẩm chăm sóc da,Chi tiêu
Lấy đồ giặt giùm a Khoa 35k hôm nay,35000,Khác,Chi tiêu
Cho Khải mua cầu 10k ck,10000,Giải trí,Chi tiêu
Phụ cấp tháng 10 2tr bằng tiền mặt,2000000,Phiếu lương,Thu nhập
Sinh tố bơ 39k bằng tiền mặt,39000,Cafe,Chi tiêu
Wifi 130k bằng tiền mặt,130000,4G,Chi tiêu
Kem đánh răng 25k ck,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300k,300000,Đám tiệc,Chi tiêu
Xăng 30k tiền,30000,Di chuyển,Chi tiêu
Sinh nhật Linh 220k ck,220000,Đám tiệc,Chi tiêu
Thanh toán Bame cho tiền bán ve chai 360k,360000,Quà tặng,Thu nhập
Xăng xe 50 nghìn,50000,Di chuyển,Chi tiêu
Lì xì 2 đứa con Bằng 100k bằng tiền mặt,100000,Quà tặng,Thu nhập
Sim 5gb 1.1tr ck,1050000,4G,Chi tiêu
Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Xịt sơn thùng để đồ 58k bằng tiền mặt,58000,Khác,Chi tiêu
Lương tháng 9 2tr,1981000,Phiếu lương,Thu nhập
Đám cưới Duyên 500k,500000,Đám tiệc,Chi tiêu
30000,30000,Khác,Chi tiêu
"Sách ""Chinh phục những điều bất  nghìnhả thi"" 163 nghìn",163000,Giáo dục,Chi tiêu
50000,50000,Mỹ phẩm chăm sóc da,Chi tiêu
Xa bông 18k hôm nay,18000,Khác,Chi tiêu
Mẹ cho 500k ck,500000,Quà tặng,Thu nhập
Phụ cấp tháng 11 2.4tr tiền,2386000,Phiếu lương,Thu nhập
Ăn uống vs bạn bè 200 nghìn,200000,Giải trí,Chi tiêu
"Mua sách ""Đúng Việc"" 105k bằng tiền mặt",105000,Giáo dục,Chi tiêu
Nước coca coi phim 57k hôm nay,57000,Giải trí,Chi tiêu
Mua lăn nách 79 nghìn,79000,Sức khỏe,Chi tiêu
Chụp hình 4x6 75k hôm nay,75000,Khác,Chi tiêu
1000000,1000000,Phiếu lương,Thu nhập
Xà bông gội đầu 15k tiền,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn uống đi bệnh viện 143k ck,143000,Giải trí,Chi tiêu
Đỏ xăng 50k bằng tiền mặt,50000,Di chuyển,Chi tiêu
Ship hàng sim 30k ck,30000,4G,Chi tiêu
Sáp khử mùi 119k,119000,Mỹ phẩm chăm sóc da,Chi tiêu
Hớt tóc 2 cậu cháu 120 nghìn,120000,Hớt tóc,Chi tiêu
Thuốc 120 nghìn,120000,Sức khỏe,Chi tiêu
Trả chị 2 300 nghìn,300000,Trả nợ,Chi tiêu
60000,60000,Khác,Chi tiêu
Thuốc cảm 78 nghìn,78000,Sức khỏe,Chi tiêu
Tiền nước đá 70k ck,70000,Tạp phẩm,Chi tiêu
154000,154000,Sức khỏe,Chi tiêu
Thanh toán Xăng 30k,30000,Di chuyển,Chi tiêu
400000,400000,Quà tặng,Thu nhập
Cạo vôi răng 100k hôm nay,100000,Sức khỏe,Chi tiêu
Mẹ cho 500k 500k ck,500000,Quà tặng,Thu nhập
Uống nước vs bạn 168k ck,168000,Cafe,Chi tiêu
Lương tháng 1 2tr tiền,1962000,Phiếu lương,Thu nhập
Sinh nhật sếp Hoài 350k hôm nay,350000,Đám tiệc,Chi tiêu
Cho Khải mua cầu 10 nghìn,10000,Giải trí,Chi tiêu
Mẹ cho 1tr 1tr,1000000,Quà tặng,Thu nhập
Trà sữa 40k,40000,Cafe,Chi tiêu
3 ngày đi dạy SC 1tr,1000000,Phiếu lương,Thu nhập
Mạng 150k hôm nay,150000,4G,Chi tiêu
2 chén mắm ăn cơm trưa 44k ck,44000,Tạp phẩm,Chi tiêu
26000,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua nc dừa uống 18k tiền,18000,Tạp phẩm,Chi tiêu
Xà bông gội đầu 25 nghìn,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Lương tháng 9 2 triệu,1981000,Phiếu lương,Thu nhập
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Đổ xăng 50k ck,50000,Di chuyển,Chi tiêu
Xà bông gội đầu 25k hôm nay,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Xa bông 18k hôm nay,18000,Khác,Chi tiêu
Wifi tháng 5 65k hôm nay,65000,4G,Chi tiêu
Mua chân chống + photo 18k tiền,18000,Tạp phẩm,Chi tiêu
Thuốc ngậm viêm răng khôn 5k ck,5000,Sức khỏe,Chi tiêu
Thanh toán Gửi xe 6k,6000,Di chuyển,Chi tiêu
Sinh nhật Linh 220 nghìn,220000,Đám tiệc,Chi tiêu
Nước dừa 30k hôm nay,30000,Tạp phẩm,Chi tiêu
3000000,3000000,Mượn tiền,Thu nhập
"Sách ""Một đời như kẻ tìm đường"" 135k",135000,Giáo dục,Chi tiêu
Mua pin 12k,12000,Tạp phẩm,Chi tiêu
60000,60000,Khác,Chi tiêu
Thuốc 7 ngày 98k ck,98000,Sức khỏe,Chi tiêu
Nc tẩy trang 165k tiền,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Thay nhớt xe 100k,100000,Di chuyển,Chi tiêu
Nc tẩy trang 165k ck,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Đổ xăng 30k tiền,30000,Di chuyển,Chi tiêu
Ăn sáng 100k,100000,Tạp phẩm,Chi tiêu
5700000,5700000,Phiếu lương,Thu nhập
Đám cưới Huyền 500k,500000,Đám tiệc,Chi tiêu
Mạng 150k hôm nay,150000,4G,Chi tiêu
120000,120000,4G,Chi tiêu
Wifi tháng 5 65k tiền,65000,4G,Chi tiêu
Mua chai nước muối súc miệng 10k tiền,10000,Sức khỏe,Chi tiêu
Thanh toán Mượn mẹ 100k,100000,Mượn tiền,Thu nhập
Nc tẩy trang 165k,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Học phí  nghìnỳ 1 UIT 6.3 triệu,6320000,Giáo dục,Chi tiêu
Thanh toán Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1 triệu,1000000,Phiếu lương,Thu nhập
"Ăn uống đi lại, sinh hoạt chi tiêu 2 ngày về đi thi 425k tiền",425000,Di chuyển,Chi tiêu
Hớt tóc 35k tiền,35000,Hớt tóc,Chi tiêu
Ăn uống đổ xăng đi thi 170k ck,170000,Tạp phẩm,Chi tiêu
Trà sữa 40 nghìn,40000,Cafe,Chi tiêu
Áo + 50k giải CLB Runner LA 200k tiền,200000,Trả nợ,Chi tiêu
Nước coca coi phim 57k,57000,Giải trí,Chi tiêu
Uống nước nghe nhạc 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Bông gòn rái tay 20 nghìn,20000,Khác,Chi tiêu
Phụ cấp tháng 5/2025 2.2tr hôm nay,2220000,Phiếu lương,Thu nhập
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
20000,20000,Tạp phẩm,Chi tiêu
Phụ cấp tháng 7/2025 2.1tr tiền,2150000,Phiếu lương,Thu nhập
Bame cho 100 nghìn,100000,Khác,Chi tiêu
600000,600000,Quà tặng,Thu nhập
500000,500000,Quà tặng,Thu nhập
Xăng xe 70k ck,70000,Di chuyển,Chi tiêu
Thuốc nhỏ mắt 20k ck,20000,Sức khỏe,Chi tiêu
A Minh lì xì tết 200k bằng tiền mặt,200000,Quà tặng,Thu nhập
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k ck,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Không nhớ rõ hoặc nhầm 96k,96000,Khác,Chi tiêu
Thanh toán Tiền mẹ cho 80k,80000,Quà tặng,Thu nhập
Photo giấy ôn thi cho Khải 2k tiền,2000,Giáo dục,Chi tiêu
Sim 5gb 1.1tr bằng tiền mặt,1050000,4G,Chi tiêu
Nạp tiền dt mua mạng 10 nghìn,10000,4G,Chi tiêu
Thanh toán Đổi xăng 30k,30000,Di chuyển,Chi tiêu
Lương tháng 7 180k tiền,180000,Phiếu lương,Thu nhập
Mua thuốc cảm ho sổ muỗi 48k ck,48000,Sức khỏe,Chi tiêu
Tăng sên 10 nghìn,10000,Khác,Chi tiêu
Mượn tiền mua sách 120k 120k,120000,Mượn tiền,Thu nhập
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299 nghìn",299000,Giáo dục,Chi tiêu
Đám cưới Duyên 500k,500000,Đám tiệc,Chi tiêu
Mượn 2 3tr 3tr,3000000,Mượn tiền,Thu nhập
Xăng xe 70 nghìn,70000,Di chuyển,Chi tiêu
Nạp tiền dt mua mạng 10 nghìn,10000,4G,Chi tiêu
Khám sức  nghìnhỏe hồ sơ xin việc 120 nghìn,120000,Sức khỏe,Chi tiêu
Cắt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Wifi 130k ck,130000,4G,Chi tiêu
Mượn tiền mua sách 120k 120k tiền,120000,Mượn tiền,Thu nhập
Định lượng tháng 10 400k tiền,400000,Phiếu lương,Thu nhập
Trả tiền thiếu 100k bằng tiền mặt,100000,Trả nợ,Chi tiêu
Trà sữa 40k ck,40000,Cafe,Chi tiêu
Thanh toán Học phí UIT kỳ 4 50% 3.9tr,3915000,Giáo dục,Chi tiêu
Hớt tóc 30k ck,30000,Hớt tóc,Chi tiêu
Xăng 50k,50000,Di chuyển,Chi tiêu
Kem rạng da 327k bằng tiền mặt,327000,Mỹ phẩm chăm sóc da,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k bằng tiền mặt,450000,Trả nợ,Chi tiêu
300000,300000,Giải trí,Chi tiêu
Trả góp tiền dt tháng 10 840k ck,840000,Trả nợ,Chi tiêu
Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
1000000,1000000,Quà tặng,Thu nhập
Lương tháng 3 3.9tr,3850000,Phiếu lương,Thu nhập
5G 150k ck,150000,4G,Chi tiêu
Thanh toán Xăng 30k,30000,Di chuyển,Chi tiêu
Làm tóc 260k ck,260000,Hớt tóc,Chi tiêu
Thanh toán Xăng 50k,50000,Di chuyển,Chi tiêu
Ăn uống vs bạn bè 200k hôm nay,200000,Giải trí,Chi tiêu
Tiền ăn 500k hôm nay,500000,Trả nợ,Chi tiêu
Hớt tóc 60k ck,60000,Hớt tóc,Chi tiêu
Thanh toán Không nhớ 18k,18000,Khác,Chi tiêu
4G 5k,5000,4G,Chi tiêu
Hớt tóc 60k tiền,60000,Hớt tóc,Chi tiêu
Ăn sáng + trả 2 bửa ăn sáng Thịnh 80k ck,80000,Tạp phẩm,Chi tiêu
400000,400000,Đám tiệc,Chi tiêu
Thanh toán Lãnh lương tháng 6 6.5tr,6500000,Phiếu lương,Thu nhập
Cà phê Highlands Coffee 60k,60000,Tạp phẩm,Chi tiêu
Mẹ cho 1tr 1tr ck,1000000,Quà tặng,Thu nhập
Lì xì tết 810 nghìn,810000,Quà tặng,Thu nhập
Cho Hậu mượn 100k 100k tiền,100000,Mượn tiền,Thu nhập
Thanh toán Vaselines khô môi 65k,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Sim 5gb 1.1tr,1050000,4G,Chi tiêu
Làm tóc 260k bằng tiền mặt,260000,Hớt tóc,Chi tiêu
Đổ xăng 50k ck,50000,Di chuyển,Chi tiêu
360000,360000,Quà tặng,Thu nhập
Tiền trả góp dt tháng 9 840k,840000,Trả nợ,Chi tiêu
Mua đồ nấu phở 70k bằng tiền mặt,70000,Tạp phẩm,Chi tiêu
Thanh toán Ăn sáng 40k,40000,Tạp phẩm,Chi tiêu
Thanh toán Di chuyển 50k,50000,Di chuyển,Chi tiêu
Phụ cấp tháng 11 2.1tr ck,2072000,Phiếu lương,Thu nhập
Hớt tóc 70 nghìn,70000,Hớt tóc,Chi tiêu
Thuốc cảm 78 nghìn,78000,Sức khỏe,Chi tiêu
Đổ xăng 50k tiền,50000,Di chuyển,Chi tiêu
Hớt tóc 50k hôm nay,50000,Hớt tóc,Chi tiêu
Cắt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Đám cưới Duyên 500k tiền,500000,Đám tiệc,Chi tiêu
Hớt tóc 30k tiền,30000,Hớt tóc,Chi tiêu
Ăn uống vs bạn bè 200k tiền,200000,Giải trí,Chi tiêu
5G 150k tiền,150000,4G,Chi tiêu
Mượn 2 mua lẩu 500k tiền,500000,Mượn tiền,Thu nhập
Thanh toán Trail leo núi Dinh BR VT 298k,298000,Giải trí,Chi tiêu
Xăng xe 50k bằng tiền mặt,50000,Di chuyển,Chi tiêu
Đám cưới Oanh 1 triệu,1000000,Giải trí,Chi tiêu
Cho Khải mua cầu 10k bằng tiền mặt,10000,Giải trí,Chi tiêu
Lương tháng 3 3.9tr,3850000,Phiếu lương,Thu nhập
Dây cáp mạng 120k hôm nay,120000,4G,Chi tiêu
Sinh nhật Mỹ Nhàn 600k bằng tiền mặt,600000,Đám tiệc,Chi tiêu
Đổ xăng 50k hôm nay,50000,Di chuyển,Chi tiêu
50000,50000,Di chuyển,Chi tiêu
Cho Khải tiền mua bánh ăn 20k tiền,20000,Tạp phẩm,Chi tiêu
Mua đồ nấu cháo 35 nghìn,35000,Tạp phẩm,Chi tiêu
50000,50000,Khác,Chi tiêu
Mẹ cho NHƯNG LÀ MƯỢN 2TR 2tr bằng tiền mặt,2000000,Mượn tiền,Thu nhập
Lương tháng 7 180k bằng tiền mặt,180000,Phiếu lương,Thu nhập
Mượn tiền 2 đi Đà Lạt 2.5tr tiền,2500000,Trả nợ,Chi tiêu
Học phí kỳ 1 UIT 6.3tr tiền,6320000,Giáo dục,Chi tiêu
Ăn sáng 30k,30000,Tạp phẩm,Chi tiêu
Trả chị 2 1 triệu,1000000,Trả nợ,Chi tiêu
250000,250000,Di chuyển,Chi tiêu
Đổ xăng 50k tiền,50000,Di chuyển,Chi tiêu
Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
Thanh toán Wifi 130k,130000,4G,Chi tiêu
Thanh toán Mua sữa cho nội 300k,300000,Mượn tiền,Thu nhập
Ăn sáng cháo x3 60k,60000,Tạp phẩm,Chi tiêu
Mua sách 182k tiền,182000,Giáo dục,Chi tiêu
Cho Hậu mượn 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
3000000,3000000,Mượn tiền,Thu nhập
Thanh toán Cho Bằng mượn 1tr,1000000,Mượn tiền,Thu nhập
Trà sữa 40 nghìn,40000,Cafe,Chi tiêu
Trà sữa 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Làm tóc 370k hôm nay,370000,Khác,Chi tiêu
Sách: Một cuốn sách về chủ nghĩa tối giản 171k hôm nay,171000,Giáo dục,Chi tiêu
Thanh toán Mua thuốc cảm uống 32k,32000,Sức khỏe,Chi tiêu
Cho Hậu mượn 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
Đại ca lì xì 200k tiền,200000,Quà tặng,Thu nhập
Xăng 30 nghìn,30000,Di chuyển,Chi tiêu
Đám cưới 500k bằng tiền mặt,500000,Đám tiệc,Chi tiêu
Tiền ăn lễ 225 nghìn,225000,Phiếu lương,Thu nhập
Kem rạng da 327k tiền,327000,Mỹ phẩm chăm sóc da,Chi tiêu
Hớt tóc 50k bằng tiền mặt,50000,Hớt tóc,Chi tiêu
Học phí UIT kỳ 4 50% 3.9tr tiền,3915000,Giáo dục,Chi tiêu
Thanh toán Mẹ cho 300k,300000,Quà tặng,Thu nhập
Lì xì của cô năm r xài r nữa 16k,16000,Quà tặng,Thu nhập
Mua xà bông gội đầu 30k bằng tiền mặt,30000,Mỹ phẩm chăm sóc da,Chi tiêu
Nc tẩy trang 165k ck,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua caffe đi tòa 33k hôm nay,33000,Cafe,Chi tiêu
Mẹ cho 800k,800000,Quà tặng,Thu nhập
Ăn sáng 25k tiền,25000,Tạp phẩm,Chi tiêu
Thuốc cảm 154k tiền,154000,Sức khỏe,Chi tiêu
"Mua sách ""Đúng Việc"" 105k ck",105000,Giáo dục,Chi tiêu
Hớt tóc 35 nghìn,35000,Hớt tóc,Chi tiêu
Tiền ăn lễ 225 nghìn,225000,Phiếu lương,Thu nhập
Hớt tóc 35k hôm nay,35000,Hớt tóc,Chi tiêu
Cắt tóc 60k,60000,Hớt tóc,Chi tiêu
Bánh kem sinh nhật Khải 210k hôm nay,210000,Đám tiệc,Chi tiêu
Thuốc nhỏ mắt 20 nghìn,20000,Sức khỏe,Chi tiêu
Xa bông 18k,18000,Khác,Chi tiêu
Nhổ răng 500k 500k,500000,Sức khỏe,Chi tiêu
Mẹ cho NHƯNG LÀ MƯỢN 2TR 2tr bằng tiền mặt,2000000,Mượn tiền,Thu nhập
Trả chị 2 300k ck,300000,Trả nợ,Chi tiêu
Uống nước nghe nhạc 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Hớt tóc 50k tiền,50000,Hớt tóc,Chi tiêu
Áo + 50k giải CLB Runner LA 200k hôm nay,200000,Trả nợ,Chi tiêu
30000,30000,Di chuyển,Chi tiêu
Mượn chị 2 300k tiền,300000,Mượn tiền,Thu nhập
Mua bánh canh + ăn bánh tráng tối 47k tiền,47000,Tạp phẩm,Chi tiêu
Đổ xăng 50k,50000,Di chuyển,Chi tiêu
Cho Hậu mượn 200k hôm nay,200000,Mượn tiền,Thu nhập
Đổ xăng 50 nghìn,50000,Di chuyển,Chi tiêu
Cắt tóc 60k,60000,Hớt tóc,Chi tiêu
Trả chị 2 300 nghìn,300000,Trả nợ,Chi tiêu
150000,150000,4G,Chi tiêu
Mẹ cho 300 nghìn,300000,Quà tặng,Thu nhập
Thanh toán Ăn sáng 50k,50000,Tạp phẩm,Chi tiêu
Mua caffe đi tòa 33k ck,33000,Cafe,Chi tiêu
Ăn sáng 20k tiền,20000,Tạp phẩm,Chi tiêu
Ăn uống vs bạn bè 200k ck,200000,Giải trí,Chi tiêu
Thanh toán Sinh nhật Hậu vs a An vs chị Sương 300k,300000,Đám tiệc,Chi tiêu
Trả tiền chụp hình 40k hôm nay,40000,Khác,Chi tiêu
Bánh kem sinh nhật Khải 210k tiền,210000,Đám tiệc,Chi tiêu
Thuốc cảm 154k,154000,Sức khỏe,Chi tiêu
Tiền ăn lễ 225k ck,225000,Phiếu lương,Thu nhập
"Sách ""Một đời như kẻ tìm đường"" 135k ck",135000,Giáo dục,Chi tiêu
"Mua sách ""Đúng Việc"" 105k hôm nay",105000,Giáo dục,Chi tiêu
Học phí UIT kỳ 4 50% 3.9tr hôm nay,3915000,Giáo dục,Chi tiêu
Phụ cấp tháng 6/2025 2.1 triệu,2100000,Phiếu lương,Thu nhập
Chụp hình 4x6 75k bằng tiền mặt,75000,Khác,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr,2300000,Phiếu lương,Thu nhập
27000,27000,Quà tặng,Thu nhập
Xăng xe 30k tiền,30000,Di chuyển,Chi tiêu
Gửi xe 5k ck,5000,Di chuyển,Chi tiêu
Kem đánh răng 25 nghìn,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k tiền,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Mạng 150k bằng tiền mặt,150000,4G,Chi tiêu
Thanh toán Bông tẩy trang 26k,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Gây quỹ ủng hộ bão số 3 20k bằng tiền mặt,20000,Khác,Chi tiêu
Mượn 2 mua lẩu 500k bằng tiền mặt,500000,Mượn tiền,Thu nhập
Thanh toán Card wifi 255k,255000,4G,Chi tiêu
119000,119000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua đất sét cho Khải học 23k tiền,23000,Giáo dục,Chi tiêu
Mẹ cho 500k tiền,500000,Quà tặng,Thu nhập
Ăn uống đi bệnh viện 143k bằng tiền mặt,143000,Giải trí,Chi tiêu
Sách: Một cuốn sách về chủ nghĩa tối giản 171k hôm nay,171000,Giáo dục,Chi tiêu
Ăn kem 30k,30000,Cafe,Chi tiêu
Trả nợ chị 2 1.5 triệu,1500000,Trả nợ,Chi tiêu
25000,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
