text,amount_vnd,category,type
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
Thanh toán Mua 2 ngày thuốc cảm 40k,40000,Sức khỏe,Chi tiêu
20000,20000,Tạp phẩm,Chi tiêu
145000,145000,Đám tiệc,Chi tiêu
Cho Khải mua cầu 10 nghìn,10000,Giải trí,Chi tiêu
Hớt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Lì xì 50k,50000,Quà tặng,Thu nhập
Học phí UIT kỳ 2 7tr ck,6960000,Giáo dục,Chi tiêu
3 chuyến bus 18k tiền,18000,Di chuyển,Chi tiêu
Mua vé xem phim 2/9 160k hôm nay,160000,Giải trí,Chi tiêu
Ăn sáng 50k tiền,50000,Tạp phẩm,Chi tiêu
Sinh nhật anh Tiến 200k tiền,200000,Trả nợ,Chi tiêu
Tiền trả góp dt tháng 9 840k,840000,Trả nợ,Chi tiêu
Thanh toán Reset tiền 1.5tr,1453000,Quà tặng,Thu nhập
Ăn kem 30k ck,30000,Cafe,Chi tiêu
Mua nhang 27k bằng tiền mặt,27000,Tạp phẩm,Chi tiêu
120000,120000,4G,Chi tiêu
Ăn bửa lãnh lương 100k hôm nay,100000,Phiếu lương,Thu nhập
Mua vé xem phim 2/9 160k bằng tiền mặt,160000,Giải trí,Chi tiêu
Thanh toán Mượn chị 2 đóng học phí 1tr,1000000,Mượn tiền,Thu nhập
Card wifi 255k,255000,4G,Chi tiêu
Thanh toán Hiến máu 50k,50000,Quà tặng,Thu nhập
Uống nước vs bạn 168k bằng tiền mặt,168000,Cafe,Chi tiêu
Photo document English 60k,60000,Giáo dục,Chi tiêu
Ăn sáng 25 nghìn,25000,Tạp phẩm,Chi tiêu
Xăng 30k,30000,Di chuyển,Chi tiêu
Bắt grab về nhà nghỉ 589 nghìn,589000,Di chuyển,Chi tiêu
Lương tháng 2 2.5tr tiền,2500000,Phiếu lương,Thu nhập
Ăn uống đổ xăng 245 nghìn,245000,Di chuyển,Chi tiêu
Đổ xăng 30 nghìn,30000,Di chuyển,Chi tiêu
Mua bánh kem sn Vương 50k bằng tiền mặt,50000,Mỹ phẩm chăm sóc da,Chi tiêu
Cho Bằng mượn tiền 1tr hôm nay,1000000,Mượn tiền,Thu nhập
Mượn mẹ 100k hôm nay,100000,Mượn tiền,Thu nhập
Mượn tiền 2 đi Đà Lạt 2.5 triệu,2500000,Trả nợ,Chi tiêu
154000,154000,Sức khỏe,Chi tiêu
100000,100000,Trả nợ,Chi tiêu
Wifi tháng 5 65k,65000,4G,Chi tiêu
Thanh toán Ăn sáng 30k,30000,Tạp phẩm,Chi tiêu
Mượn a Hảo tiền mua caffe 50k bằng tiền mặt,50000,Trả nợ,Chi tiêu
Học phí UIT kỳ 4 50% 3.9tr tiền,3915000,Giáo dục,Chi tiêu
Reset 1.4tr bằng tiền mặt,1375000,Khác,Chi tiêu
Ăn uống đi bệnh viện 143k hôm nay,143000,Giải trí,Chi tiêu
Mua 2 ngày thuốc 100k hôm nay,100000,Sức khỏe,Chi tiêu
Sim 5gb 1.1tr tiền,1050000,4G,Chi tiêu
Lì xi 40k hôm nay,40000,Khác,Chi tiêu
Thanh toán Đổ xăng 20k,20000,Di chuyển,Chi tiêu
Sinh nhật Linh 220k tiền,220000,Đám tiệc,Chi tiêu
Mua pin 12k,12000,Tạp phẩm,Chi tiêu
Khác 28k tiền,28000,Khác,Chi tiêu
Ăn sáng + trả 2 bửa ăn sáng Thịnh 80k hôm nay,80000,Tạp phẩm,Chi tiêu
Mượn mẹ 100k hôm nay,100000,Mượn tiền,Thu nhập
Mẹ cho 500k ck,500000,Quà tặng,Thu nhập
Ăn sáng 20k,20000,Tạp phẩm,Chi tiêu
Card wifi 255k bằng tiền mặt,255000,4G,Chi tiêu
Ăn uống đi bệnh viện 143k bằng tiền mặt,143000,Giải trí,Chi tiêu
Thanh toán Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Hớt tóc 35 nghìn,35000,Hớt tóc,Chi tiêu
Khác 28k ck,28000,Khác,Chi tiêu
Ăn sáng 37 nghìn,37000,Tạp phẩm,Chi tiêu
Thanh toán Nc tẩy trang + srm + bông tẩy trang 395k,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k hôm nay,450000,Trả nợ,Chi tiêu
Thanh toán Mua 2 ngày thuốc cảm 40k,40000,Sức khỏe,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
10000,10000,Giải trí,Chi tiêu
Mạng 5g Viettel 150k tiền,150000,4G,Chi tiêu
Trả tiền ăn cơ quan 150k bằng tiền mặt,150000,Phiếu lương,Thu nhập
Cho Hậu mượn 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
Ăn kem 30k tiền,30000,Cafe,Chi tiêu
450000,450000,Trả nợ,Chi tiêu
Thanh toán Ăn sáng 30k,30000,Tạp phẩm,Chi tiêu
Thuốc cảm 78k,78000,Sức khỏe,Chi tiêu
Mua sắm 250k tiền,250000,Tạp phẩm,Chi tiêu
Phụ cấp tháng 7/2025 2.1tr bằng tiền mặt,2150000,Phiếu lương,Thu nhập
Mua đất sét cho Khải học 23k,23000,Giáo dục,Chi tiêu
Kem đánh răng 25k hôm nay,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
"Sách ""Chinh phục những điều bất khả thi"" 163k ck",163000,Giáo dục,Chi tiêu
Sách: Hiểu hết về tiền 230k tiền,230000,Giáo dục,Chi tiêu
40000,40000,Mượn tiền,Thu nhập
Mua caffe đi tòa 33 nghìn,33000,Cafe,Chi tiêu
Bắt grab về nhà nghỉ bù lễ 210 nghìn,210000,Di chuyển,Chi tiêu
Hớt tóc 50k bằng tiền mặt,50000,Hớt tóc,Chi tiêu
Bame cho 100k bằng tiền mặt,100000,Khác,Chi tiêu
Thanh toán Tiền bán dt anh 2 cho 200k,200000,Quà tặng,Thu nhập
Trả tiền ship 30k bằng tiền mặt,30000,Khác,Chi tiêu
Trà sữa 40 nghìn,40000,Cafe,Chi tiêu
50000,50000,Tạp phẩm,Chi tiêu
Thanh toán Cho nội 200k,200000,Khác,Chi tiêu
160000,160000,Giải trí,Chi tiêu
Nhổ răng 500k 500k hôm nay,500000,Sức khỏe,Chi tiêu
Trả chị 2 1 triệu,1000000,Trả nợ,Chi tiêu
Thanh toán Phụ cấp tháng 6/2025 2.1tr,2100000,Phiếu lương,Thu nhập
150000,150000,4G,Chi tiêu
Sách: Hiểu hết về tiền 230k hôm nay,230000,Giáo dục,Chi tiêu
Đám cưới 500k,500000,Đám tiệc,Chi tiêu
Mạng 150k tiền,150000,4G,Chi tiêu
Photo công chứng 60k bằng tiền mặt,60000,Khác,Chi tiêu
Hớt tóc 70k ck,70000,Hớt tóc,Chi tiêu
Phụ cấp tháng 11 2.1tr ck,2072000,Phiếu lương,Thu nhập
"Sách ""Chinh phục những điều bất khả thi"" 163k tiền",163000,Giáo dục,Chi tiêu
Hớt tóc 30k ck,30000,Hớt tóc,Chi tiêu
Mẹ cho 1tr tiền,1000000,Quà tặng,Thu nhập
Ăn uống vs bạn bè 200k,200000,Giải trí,Chi tiêu
Thanh toán Ăn sáng 50k,50000,Tạp phẩm,Chi tiêu
Khác 28k bằng tiền mặt,28000,Khác,Chi tiêu
Mạng 150k hôm nay,150000,4G,Chi tiêu
Mua bánh kem sinh nhật anh 2 220k ck,220000,Mỹ phẩm chăm sóc da,Chi tiêu
40000,40000,Cafe,Chi tiêu
Mua xà bông gội đầu 30k tiền,30000,Mỹ phẩm chăm sóc da,Chi tiêu
"Mua sách ""Đúng Việc"" 105k",105000,Giáo dục,Chi tiêu
Gửi xe bv 10k bằng tiền mặt,10000,Di chuyển,Chi tiêu
Làm tóc 260k ck,260000,Hớt tóc,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k ck,450000,Trả nợ,Chi tiêu
Mua bánh kem sinh nhật anh 2 220k tiền,220000,Mỹ phẩm chăm sóc da,Chi tiêu
Cho Cupe Tiên mượn đóng tiền học 300k ck,300000,Mượn tiền,Thu nhập
Cho Phát mượn 40k ck,40000,Mượn tiền,Thu nhập
Mua bánh xèo vào ăn vs Bằng 100k tiền,100000,Giải trí,Chi tiêu
Trà sữa 40k ck,40000,Cafe,Chi tiêu
Khác 46k,46000,Khác,Chi tiêu
Ăn sinh nhật đại ca 300k hôm nay,300000,Giải trí,Chi tiêu
"K nhớ rõ, reset đúng tiền bóp 27k hôm nay",27000,Khác,Chi tiêu
Đổ xăng 20k hôm nay,20000,Di chuyển,Chi tiêu
Bánh kem sinh nhật Khải 210k,210000,Đám tiệc,Chi tiêu
Thanh toán Photo giấy ôn thi cho Khải 2k,2000,Giáo dục,Chi tiêu
Xem phim công tử bạc liêu 146k hôm nay,146000,Giải trí,Chi tiêu
Lương tháng 7 1.8tr bằng tiền mặt,1800000,Phiếu lương,Thu nhập
Viettel 5G 150 nghìn,150000,4G,Chi tiêu
Làm răng 400k ck,400000,Sức khỏe,Chi tiêu
Mạng 150k,150000,4G,Chi tiêu
Ship hàng sim 30k,30000,4G,Chi tiêu
Đổ xăng 50k tiền,50000,Di chuyển,Chi tiêu
Đám cưới Oanh 1tr bằng tiền mặt,1000000,Giải trí,Chi tiêu
Ăn  nghìnem 30 nghìn,30000,Cafe,Chi tiêu
Xa bông 18k hôm nay,18000,Khác,Chi tiêu
Thay nhớt xe 100k,100000,Di chuyển,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1 triệu,1000000,Phiếu lương,Thu nhập
Thanh toán Đi Vũng Tàu vs Cupe Tiên 1.4tr,1414000,Di chuyển,Chi tiêu
Xăng 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
Sinh nhật Linh 220k hôm nay,220000,Đám tiệc,Chi tiêu
100000,100000,Khác,Chi tiêu
Lương tháng 1 2tr,1962000,Phiếu lương,Thu nhập
Mượn a Hảo. Đã trả 100k bằng tiền mặt,100000,Trả nợ,Chi tiêu
Dây đeo đồng hồ 310k bằng tiền mặt,310000,Khác,Chi tiêu
Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
Thanh toán Sim 5gb 1.1tr,1050000,4G,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr,2300000,Phiếu lương,Thu nhập
Mượn chị 2 đóng học phí 1tr tiền,1000000,Mượn tiền,Thu nhập
Học phí UIT  nghìnỳ 3 7.8 triệu,7830000,Giáo dục,Chi tiêu
Thanh toán Lãnh lương tháng 6 6.5tr,6500000,Phiếu lương,Thu nhập
Caffe vs đám bạn 66k bằng tiền mặt,66000,Cafe,Chi tiêu
Xăng 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k ck,430000,Mỹ phẩm chăm sóc da,Chi tiêu
500000,500000,Đám tiệc,Chi tiêu
130000,130000,4G,Chi tiêu
Nhổ răng 500k 500k tiền,500000,Sức khỏe,Chi tiêu
Cho Khải mua cầu 10k tiền,10000,Giải trí,Chi tiêu
Thanh toán Đưa cupe Tiên mượn 150k 150k,150000,Mượn tiền,Thu nhập
Thanh toán Sách Khắc đi khắc đến - Xuân Phượng 145k,145000,Giáo dục,Chi tiêu
Thanh toán Mua xà bông gội đầu 30k,30000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua bánh  nghìnem sinh nhật anh 2 220 nghìn,220000,Mỹ phẩm chăm sóc da,Chi tiêu
Wifi 130k ck,130000,4G,Chi tiêu
Ăn kem 30k bằng tiền mặt,30000,Cafe,Chi tiêu
K rõ tiền đâu ra 27k,27000,Quà tặng,Thu nhập
Đám cưới Huyền 500k,500000,Đám tiệc,Chi tiêu
Phụ cấp tháng 5/2025 2.2 triệu,2220000,Phiếu lương,Thu nhập
Photo document English 60k bằng tiền mặt,60000,Giáo dục,Chi tiêu
Xăng 50k ck,50000,Di chuyển,Chi tiêu
Mua bánh bao 10 nghìn,10000,Tạp phẩm,Chi tiêu
Hớt tóc 50k ck,50000,Hớt tóc,Chi tiêu
Thanh toán Không nhớ rõ hoặc nhầm 96k,96000,Khác,Chi tiêu
Sinh nhật Linh 220k hôm nay,220000,Đám tiệc,Chi tiêu
"Mua sách ""Đúng Việc"" 105k",105000,Giáo dục,Chi tiêu
Sinh tố bơ 39k ck,39000,Cafe,Chi tiêu
Thay nhớt xe 100k ck,100000,Di chuyển,Chi tiêu
Mạng 5g Viettel 150k hôm nay,150000,4G,Chi tiêu
Thuốc 120 nghìn,120000,Sức khỏe,Chi tiêu
"Sách ""Chinh phục những điều bất khả thi"" 163k hôm nay",163000,Giáo dục,Chi tiêu
Điện + wifi 222k,222000,4G,Chi tiêu
Hùng tiền tất niên 100k tiền,100000,Trả nợ,Chi tiêu
Trả nợ chị 2 1.5tr bằng tiền mặt,1500000,Trả nợ,Chi tiêu
70000,70000,Tạp phẩm,Chi tiêu
100000,100000,Hớt tóc,Chi tiêu
Ăn sáng + trả 2 bửa ăn sáng Thịnh 80k ck,80000,Tạp phẩm,Chi tiêu
Mượn mẹ 100 nghìn,100000,Mượn tiền,Thu nhập
Tiền  triệuả góp điện thoại tháng 7 830 nghìn,830000,Trả nợ,Chi tiêu
Không nhớ 18k hôm nay,18000,Khác,Chi tiêu
300000,300000,Mượn tiền,Thu nhập
Ăn  nghìnem 30 nghìn,30000,Cafe,Chi tiêu
Mượn mẹ 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Uống nước nghe nhạc 40k ck,40000,Cafe,Chi tiêu
Mạng 5g Viettel 150k bằng tiền mặt,150000,4G,Chi tiêu
Mượn 2 mua lẩu 500k hôm nay,500000,Mượn tiền,Thu nhập
154000,154000,Sức khỏe,Chi tiêu
60000,60000,Khác,Chi tiêu
Caffe 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Thanh toán Sách Con đường chẳng mấy ai đi 123k,123000,Giáo dục,Chi tiêu
Thanh toán Mẹ cho 1tr,1000000,Quà tặng,Thu nhập
Mượn chị 2 300k hôm nay,300000,Mượn tiền,Thu nhập
Mượn 2 3tr 3tr tiền,3000000,Mượn tiền,Thu nhập
Đi xe xuống cơ quan 250k tiền,250000,Di chuyển,Chi tiêu
Dây cáp mạng 120k ck,120000,4G,Chi tiêu
60000,60000,Khác,Chi tiêu
Lì xì 200 nghìn,200000,Quà tặng,Thu nhập
Cắt tóc 60k bằng tiền mặt,60000,Hớt tóc,Chi tiêu
Thanh toán Hớt tóc 2 cậu cháu 120k,120000,Hớt tóc,Chi tiêu
Ăn uống đi thi 501k ck,501000,Tạp phẩm,Chi tiêu
Đưa cupe Tiên mượn 150k 150k ck,150000,Mượn tiền,Thu nhập
"Thanh toán Hỗ trợ, hướng dẫn sư cô 2 buổi về AI 400k",400000,Quà tặng,Thu nhập
Cô A.Linh gửi 500k ck,500000,Quà tặng,Thu nhập
Mua caffe đi tòa 33 nghìn,33000,Cafe,Chi tiêu
Mẹ cho 1tr tiền,1000000,Quà tặng,Thu nhập
Nc tẩy trang 165k tiền,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Mượn a Hảo tiền mua caffe 50k hôm nay,50000,Trả nợ,Chi tiêu
Thanh toán Mua dầu gội clear 185k,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Tiền ăn 500k ck,500000,Trả nợ,Chi tiêu
Mua 2 ngày thuốc 100k tiền,100000,Sức khỏe,Chi tiêu
Hớt tóc 30 nghìn,30000,Hớt tóc,Chi tiêu
Đám cưới 500 nghìn,500000,Đám tiệc,Chi tiêu
Thanh toán Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
Hùng tiền nhậu 100k ck,100000,Đám tiệc,Chi tiêu
Thưởng cơ quan + định lượng 2tr,2000000,Quà tặng,Thu nhập
Sinh tố bơ 39k bằng tiền mặt,39000,Cafe,Chi tiêu
Sinh nhật Mỹ Nhàn 600k bằng tiền mặt,600000,Đám tiệc,Chi tiêu
Uống nước nghe nhạc 40k hôm nay,40000,Cafe,Chi tiêu
Nước dừa 40k ck,40000,Tạp phẩm,Chi tiêu
Cho Phát mượn 40 nghìn,40000,Mượn tiền,Thu nhập
Mua caffe đi tòa 33k hôm nay,33000,Cafe,Chi tiêu
Photo chụp hình công chứng giấy đăng ký nghĩa vụ 85k ck,85000,Khác,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Mua vé xem phim 2/9 160k tiền,160000,Giải trí,Chi tiêu
Khác 80k tiền,80000,Khác,Chi tiêu
Mẹ cho 500k 500k hôm nay,500000,Quà tặng,Thu nhập
Đám cưới Oanh 1tr,1000000,Giải trí,Chi tiêu
Thanh toán Hớt tóc 60k,60000,Hớt tóc,Chi tiêu
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299k bằng tiền mặt",299000,Giáo dục,Chi tiêu
Hớt tóc 35 nghìn,35000,Hớt tóc,Chi tiêu
Thanh toán Trà sữa 40k,40000,Cafe,Chi tiêu
Hớt tóc 30 nghìn,30000,Hớt tóc,Chi tiêu
Mạng 5g Viettel 150k bằng tiền mặt,150000,4G,Chi tiêu
Định lượng tháng 10 400k bằng tiền mặt,400000,Phiếu lương,Thu nhập
Nạp tiền dt 10k tiền,10000,Khác,Chi tiêu
Mua vé xem phim 2/9 160 nghìn,160000,Giải trí,Chi tiêu
Nước coca coi phim 57k ck,57000,Giải trí,Chi tiêu
Xà bông gội đầu 25k ck,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Salonship 20k hôm nay,20000,Sức khỏe,Chi tiêu
Thanh toán Sinh nhật anh Tiến 200k,200000,Trả nợ,Chi tiêu
Tiền gửi xe đi làm giấy tờ 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
Sinh nhật Mỹ Nhàn 600k hôm nay,600000,Đám tiệc,Chi tiêu
Cho Phát mượn 40k ck,40000,Mượn tiền,Thu nhập
50000,50000,Hớt tóc,Chi tiêu
Cô A.Linh gửi 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
Phụ cấp tháng 7/2025 2.1tr tiền,2150000,Phiếu lương,Thu nhập
Mua vé xem phim 2/9 160k hôm nay,160000,Giải trí,Chi tiêu
Thay nhông sên dĩa + mua bánh  nghìnem + ăn uống lặt vặt 430 nghìn,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Đổi xăng 30k,30000,Di chuyển,Chi tiêu
Thanh toán Mua bánh kem cho a 2 20k,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Sinh tố bơ 39k hôm nay,39000,Cafe,Chi tiêu
100000,100000,Tạp phẩm,Chi tiêu
Mua xà bông gội đầu 30k bằng tiền mặt,30000,Mỹ phẩm chăm sóc da,Chi tiêu
Tiền ăn lễ 225 nghìn,225000,Phiếu lương,Thu nhập
Trả lại tiền ăn 100k tiền,100000,Trả nợ,Chi tiêu
Sữa tắm + lăn khử mùi 210k,210000,Mỹ phẩm chăm sóc da,Chi tiêu
Viettel 5G 150 nghìn,150000,4G,Chi tiêu
Thanh toán Sửa rửa mặt 283k,283000,Mỹ phẩm chăm sóc da,Chi tiêu
Đi xe xuống cơ quan 250k bằng tiền mặt,250000,Di chuyển,Chi tiêu
Mua thuốc 28k bằng tiền mặt,28000,Sức khỏe,Chi tiêu
Thanh toán Cho Hậu mượn 200k,200000,Mượn tiền,Thu nhập
Thanh toán Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
Wifi tháng 5 65k,65000,4G,Chi tiêu
Bánh kem sinh nhật chị Nị 145k tiền,145000,Đám tiệc,Chi tiêu
Mượn tiền 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
Nạp tiền dt mua mạng 130 nghìn,130000,4G,Chi tiêu
Hớt tóc 70 nghìn,70000,Hớt tóc,Chi tiêu
120000,120000,Sức khỏe,Chi tiêu
200000,200000,Trả nợ,Chi tiêu
300000,300000,Giải trí,Chi tiêu
Vaselines khô môi 65k bằng tiền mặt,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Hớt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Cho nội 200k,200000,Khác,Chi tiêu
Ăn sáng 120 nghìn,120000,Tạp phẩm,Chi tiêu
Caffe vs đám bạn 66k hôm nay,66000,Cafe,Chi tiêu
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299k bằng tiền mặt",299000,Giáo dục,Chi tiêu
Lương tháng 7 180 nghìn,180000,Phiếu lương,Thu nhập
Thanh toán Mua kẹo ngậm 10k,10000,Sức khỏe,Chi tiêu
Xăng 50k ck,50000,Di chuyển,Chi tiêu
500000,500000,Quà tặng,Thu nhập
Reset tiền 1.5tr ck,1453000,Quà tặng,Thu nhập
Ăn sáng 25k,25000,Tạp phẩm,Chi tiêu
Mượn mẹ 100 nghìn,100000,Mượn tiền,Thu nhập
Đám cưới Oanh 1tr tiền,1000000,Giải trí,Chi tiêu
Áo + 50k giải CLB Runner LA 200k hôm nay,200000,Trả nợ,Chi tiêu
Mua nc muối 10k tiền,10000,Sức khỏe,Chi tiêu
Sách Tài chính cá nhân dành cho người Việt Nam 157k ck,157000,Giáo dục,Chi tiêu
Uống nước nghe nhạc 40k hôm nay,40000,Cafe,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1tr hôm nay,1000000,Phiếu lương,Thu nhập
Mẹ cho NHƯNG LÀ MƯỢN 2TR 2tr bằng tiền mặt,2000000,Mượn tiền,Thu nhập
Bán chai nc hoa poss 150k tiền,150000,Khác,Chi tiêu
Photo document English 60k,60000,Giáo dục,Chi tiêu
Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Mua 2 ngày thuốc 100k ck,100000,Sức khỏe,Chi tiêu
Wifi tháng 5 65k bằng tiền mặt,65000,4G,Chi tiêu
Wifi 130k bằng tiền mặt,130000,4G,Chi tiêu
Thanh toán Mượn tiền ăn Cupe Tiên 450k,450000,Trả nợ,Chi tiêu
500000,500000,Đám tiệc,Chi tiêu
Tiền ăn lễ 225 nghìn,225000,Phiếu lương,Thu nhập
Áo + 50k giải CLB Runner LA 200k tiền,200000,Trả nợ,Chi tiêu
1000000,1000000,Trả nợ,Chi tiêu
Gửi thư xin học lại 18k hôm nay,18000,Giáo dục,Chi tiêu
Ăn uống vs bạn bè 200k ck,200000,Giải trí,Chi tiêu
Mua sữa cho nội 300k ck,300000,Mượn tiền,Thu nhập
Thưởng tết 5.7tr,5700000,Phiếu lương,Thu nhập
Sinh nhật Linh 220k hôm nay,220000,Đám tiệc,Chi tiêu
Mua 2 ngày thuốc cảm 40k,40000,Sức khỏe,Chi tiêu
Photo giấy ôn thi cho Khải 2k,2000,Giáo dục,Chi tiêu
Nc tẩy trang + srm + bông tẩy trang 395k bằng tiền mặt,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Mẹ cho 300 nghìn,300000,Quà tặng,Thu nhập
60000,60000,Hớt tóc,Chi tiêu
Thay nhớt 120 nghìn,120000,Di chuyển,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k bằng tiền mặt,100000,Giải trí,Chi tiêu
Đám cưới Duyên 500k bằng tiền mặt,500000,Đám tiệc,Chi tiêu
Đổ xăng 50k tiền,50000,Di chuyển,Chi tiêu
Mẹ cho 500 nghìn,500000,Quà tặng,Thu nhập
Ăn vặt 40k hôm nay,40000,Tạp phẩm,Chi tiêu
20000,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Hớt tóc 60k,60000,Hớt tóc,Chi tiêu
Hớt tóc 50k bằng tiền mặt,50000,Hớt tóc,Chi tiêu
Cọc tiền dt 450 nghìn,450000,Trả nợ,Chi tiêu
Bán chai nc hoa poss 150 nghìn,150000,Khác,Chi tiêu
Sim 5gb 1.1tr bằng tiền mặt,1050000,4G,Chi tiêu
Thanh toán Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
50000,50000,Tạp phẩm,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1tr,1000000,Phiếu lương,Thu nhập
Cho Khải mua cầu 10 nghìn,10000,Giải trí,Chi tiêu
Trà sữa 40 nghìn,40000,Cafe,Chi tiêu
